,区县,学区,小学名称,数据库id,小学名称-清理,confidence,level,precise,0,lat,lng,note
1334,海淀,花园路学区,北京医科大学附属小学,11127,北京医科大学附属小学,80,教育,1,,39.983668332765795,116.38393930232054,
1335,海淀,青龙桥学区,北京大学附属小学肖家河分校,9813,北京大学附属小学肖家河分校,30,UNKNOWN,0,,40.02251936268783,116.28771400904142,
1346,海淀,青龙桥学区,东北旺中心小学,10561,东北旺中心小学,80,教育,1,,40.036692813611474,116.28398109330827,
1347,海淀,青龙桥学区,培星小学,12421,培星小学,80,教育,1,,40.01472045189315,116.2568782144616,
1348,海淀,青龙桥学区,西苑小学,15705,西苑小学,,,,,39.999379,116.300926,手动查询
1354,海淀,青龙桥学区,中关村第二小学百旺校区,11107,中关村第二小学百旺校区,80,教育,1,,40.054821,116.274882,
1359,海淀,青龙桥学区,中关村第一小学天秀校区,11089,中关村第一小学天秀校区,80,购物,0,,40.025948,116.285419,
1362,海淀,清河学区,北外附属外国语学校小学部,18721,北外附属外国语学校小学部,80,教育,1,,40.063969,116.326712,
1367,海淀,清河学区,第二实验小学本部,14995,第二实验小学本部,70,UNKNOWN,1,,36.873559316706356,119.40297677332808,
1373,海淀,清河学区,第二实验小学当代校区,16107,第二实验小学当代校区,80,教育,1,,40.04976,116.324471,
1382,海淀,清河学区,第二实验小学清宁校区,10432,第二实验小学清宁校区,70,UNKNOWN,1,,40.047306,116.341899,
1384,海淀,上地学区,清河第五小学,11276,清河第五小学,80,教育,1,,40.022752,116.32794,
1391,海淀,上地学区,上地实验小学,15306,上地实验小学,80,教育,1,,40.03747241904165,116.3211581306865,
1392,海淀,上庄西北旺学区,红英小学唐家岭校区,16950,红英小学唐家岭校区,80,教育,1,,40.07004940879156,116.2808305939525,
1402,海淀,四季青学区,首都师范大学附属小学,12408,首都师范大学附属小学,80,教育,1,,39.97071434652804,116.2539209370278,
1406,海淀,万寿路学区,培英小学,13062,培英小学,,,,,39.906416,116.283811,手动查询
1411,海淀,万寿路学区,太平路小学,,太平路小学,80,教育,1,,39.912110974380866,116.26161224317713,
1426,海淀,万寿路学区,五一小学,11096,五一小学,,,,,39.907738,116.270183,手动查询
1427,海淀,万寿路学区,育英学校西翠路校区,13076,育英学校西翠路校区,60,教育,0,,39.92443,116.292941,手动查询
1447,海淀,万寿路学区,北京市育英学校小学部,11420,北京市育英学校小学部,70,UNKNOWN,1,,39.91683648604035,116.29423033966846,
1449,海淀,万寿路学区,北京市十一学校一分校小学部,10469,北京市十一学校一分校小学部,80,教育,1,,39.906471067545645,116.29068621361787,
