,区县,学区,小学名称,数据库id,小学名称-清理,confidence,level,precise,0,lat,lng,note
302,东城,龙潭、体育馆路学区,培新小学,9469,培新小学,,,,,39.88799697562913,116.42605746190938,手动查询，有两个校区相差不远，选了第一校区
323,东城,龙潭、体育馆路学区,体育馆路小学,,体育馆路小学,80,教育,1,,39.88428965642038,116.42021715560145,
327,东城,龙潭、体育馆路学区,光明小学,15062,光明小学,80,教育,1,,39.88230265249006,116.43132879529455,
330,东城,龙潭、体育馆路学区,光明小学广渠校区,14374,光明小学广渠校区,80,教育,1,,39.88990281499935,116.44409188794344,
344,东城,天坛、永定门外学区,第一师范学校附属小学,18500,第一师范学校附属小学,80,教育,1,,39.867608353276275,116.40321766388014,
349,东城,天坛、永定门外学区,宝华里小学,,宝华里小学,80,教育,1,,39.85907802934819,116.39971289260363,
357,东城,天坛、永定门外学区,定安里小学,16382,定安里小学,80,教育,1,,39.859798727709006,116.40378447148753,
368,东城,天坛、永定门外学区,革新里小学,9305,革新里小学,80,教育,1,,39.862408825331414,116.39168188877586,
372,东城,天坛、永定门外学区,精忠街小学,14041,精忠街小学,80,教育,1,,39.88742676514662,116.39627903805065,
374,东城,天坛、永定门外学区,景泰小学,11654,景泰小学,75,教育,1,,39.865219341018914,116.40620525992409,
377,东城,天坛、永定门外学区,天坛东里小学,14060,天坛东里小学,80,教育,1,,39.87525262603284,116.4124991858481,
381,东城,天坛、永定门外学区,天坛南里小学,14060,天坛南里小学,80,教育,1,,39.87243738189933,116.39933130851516,
385,东城,东花市、崇文门、前门学区,汇文第一小学（原丁香小学）,14449,汇文第一小学,80,教育,1,,39.902196309074874,116.42618413750915,
399,东城,东花市、崇文门、前门学区,崇文小学新景校区（原新景小学）,16302,崇文小学新景校区,80,UNKNOWN,1,,39.893321257196554,116.41665953013226,
415,西城,大栅栏、椿树、天桥学区,第一实验小学,14915,第一实验小学,,,,,39.895577161293794,116.37790983600748,手动查询
423,西城,大栅栏、椿树、天桥学区,香厂路小学,13496,香厂路小学,70,教育,1,,39.887979369188294,116.38732014354692,
430,西城,大栅栏、椿树、天桥学区,新世纪实验小学,8701,新世纪实验小学,80,教育,1,,39.87718930353585,116.38846100329506,
444,西城,大栅栏、椿树、天桥学区,育才学校小学部,10575,育才学校小学部,80,教育,1,,39.87597825859808,116.38747616299057,地址：http://www.bjyucai.com/
459,西城,德胜学区,第二实验小学德胜校区（原民族团结小学）,10366,第二实验小学德胜校区,80,教育,1,,39.94948947875715,116.37569010162886,
464,西城,德胜学区,北京市西城区师范学校附属小学,11044,北京市西城区师范学校附属小学,80,教育,1,,39.95377780870958,116.3847822621023,
482,西城,德胜学区,五路通小学,15125,五路通小学,80,教育,1,,39.959352317058716,116.37759672986996,
508,西城,德胜学区,育翔小学,9410,育翔小学,70,教育,1,,39.96476666857466,116.38090034277558,
510,西城,德胜学区,裕中小学,15092,裕中小学,80,教育,1,,39.96909004956726,116.38003349051877,
518,西城,广安门内、牛街学区,登莱小学,10158,登莱小学,80,教育,1,,39.88658013970586,116.34814098761696,
533,西城,广安门内、牛街学区,康乐里小学,13537,康乐里小学,80,教育,1,,39.895099845208705,116.3622146100825,
